City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Soweto,ZA,-26.2678,27.8585,52.77,21,0,6.89,clear sky
1,San Carlos De Bariloche,AR,-41.1456,-71.3082,42.55,56,75,9.13,broken clouds
2,Bluff,NZ,-46.6,168.3333,48.25,69,90,7.58,overcast clouds
3,Bredasdorp,ZA,-34.5322,20.0403,54.81,69,0,2.19,clear sky
4,Tevaitoa,PF,-16.7833,-151.5,81.14,71,85,8.9,overcast clouds
5,Fortuna,US,40.5982,-124.1573,68.18,68,20,8.99,few clouds
6,Tuatapere,NZ,-46.1333,167.6833,39.92,89,6,3.85,clear sky
7,Tasiilaq,GL,65.6145,-37.6368,39.36,98,100,7.38,light rain
8,Port Elizabeth,ZA,-33.918,25.5701,59.09,79,0,14.74,clear sky
9,Punta Arenas,CL,-53.15,-70.9167,39.31,87,20,7.56,few clouds
10,Lebu,CL,-37.6167,-73.65,52.84,68,85,10.22,light rain
11,Jacareacanga,BR,-6.2222,-57.7528,94.37,38,20,5.08,few clouds
12,Hilo,US,19.7297,-155.09,80.28,75,1,5.75,clear sky
13,Manakara,MG,-22.1333,48.0167,70.54,86,29,6.67,moderate rain
14,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,70,40,12.12,scattered clouds
15,Kapaa,US,22.0752,-159.319,77.32,78,40,1.01,scattered clouds
16,Olafsvik,IS,64.8945,-23.7142,47.89,89,100,6.33,light rain
17,Anchorage,US,61.2181,-149.9003,58.32,63,31,1.01,scattered clouds
18,Albany,US,42.6001,-73.9662,87.69,52,21,3.0,few clouds
19,Jiuquan,CN,39.7432,98.5174,72.18,36,100,19.37,moderate rain
20,Avarua,CK,-21.2078,-159.775,71.65,94,75,10.36,broken clouds
21,Nagornyy,RU,52.7959,83.5498,49.35,77,29,5.97,scattered clouds
22,Puerto Ayora,EC,-0.7393,-90.3518,82.36,84,96,7.0,overcast clouds
23,Nikolskoye,RU,59.7035,30.7861,73.29,61,79,4.25,broken clouds
24,Snyder,US,32.7179,-100.9176,78.53,69,75,4.61,broken clouds
25,Kaitangata,NZ,-46.2817,169.8464,44.92,79,100,5.41,overcast clouds
26,Barrow,US,71.2906,-156.7887,30.22,93,90,10.36,mist
27,Kuytun,RU,54.3419,101.5036,52.79,94,100,16.51,light rain
28,Longyearbyen,SJ,78.2186,15.6401,33.64,75,75,13.8,broken clouds
29,Thunder Bay,CA,48.4001,-89.3168,70.56,74,71,6.87,broken clouds
30,Guerrero Negro,MX,27.9769,-114.0611,71.71,53,4,11.65,clear sky
31,Vaini,TO,-21.2,-175.2,66.36,88,20,1.14,few clouds
32,Angoche,MZ,-16.2325,39.9086,70.9,79,14,13.27,light rain
33,Rikitea,PF,-23.1203,-134.9692,75.58,80,100,10.25,overcast clouds
34,Ribeira Grande,PT,38.5167,-28.7,70.2,78,20,11.5,few clouds
35,Pangai,TO,-19.8,-174.35,74.64,66,42,14.83,scattered clouds
36,Jamestown,US,42.097,-79.2353,84.09,41,1,14.97,clear sky
37,Bobrovka,RU,54.047,61.7455,57.25,47,0,2.57,clear sky
38,Mumbwa,ZM,-14.9783,27.0619,61.29,47,21,6.17,few clouds
39,Busselton,AU,-33.65,115.3333,56.08,79,16,11.21,few clouds
40,Dudinka,RU,69.4058,86.1778,30.02,94,99,6.35,overcast clouds
41,Vao,NC,-22.6667,167.4833,71.17,82,100,23.53,overcast clouds
42,Katsuura,JP,35.1333,140.3,71.71,90,90,12.46,overcast clouds
43,Chapais,CA,49.7834,-74.8492,58.78,86,100,8.77,overcast clouds
44,Adrar,MR,20.5022,-10.0711,104.23,12,3,18.95,clear sky
45,Khatanga,RU,71.9667,102.5,32.36,89,96,6.91,overcast clouds
46,Upernavik,GL,72.7868,-56.1549,37.42,84,56,2.59,broken clouds
47,Butaritari,KI,3.0707,172.7902,82.4,70,42,6.58,scattered clouds
48,Bermeo,ES,43.4209,-2.7215,70.11,68,13,9.53,few clouds
49,Saint-Philippe,RE,-21.3585,55.7679,74.75,84,44,5.01,light rain
50,Fare,PF,-16.7,-151.0167,80.49,73,88,8.88,overcast clouds
51,East London,ZA,-33.0153,27.9116,61.34,78,7,10.8,clear sky
52,Kahului,US,20.8947,-156.47,77.85,76,14,10.0,few clouds
53,Sao Filipe,CV,14.8961,-24.4956,78.42,64,35,12.46,scattered clouds
54,Mataura,NZ,-46.1927,168.8643,39.6,95,52,0.51,broken clouds
55,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,78,41,3.24,scattered clouds
56,Poddorye,RU,57.4695,31.1156,66.15,68,42,6.15,scattered clouds
57,Hermanus,ZA,-34.4187,19.2345,60.6,61,0,5.57,clear sky
58,Mahebourg,MU,-20.4081,57.7,74.25,74,16,8.7,few clouds
59,Hithadhoo,MV,-0.6,73.0833,82.94,75,100,13.38,overcast clouds
60,Ekhabi,RU,53.5102,142.9671,34.23,97,100,14.99,light rain
61,Dikson,RU,73.5069,80.5464,30.72,98,99,13.82,light snow
62,Alihe,CN,50.5667,123.7167,44.24,77,0,3.49,clear sky
63,Tabuk,PH,17.4189,121.4443,77.65,82,100,1.52,overcast clouds
64,Shelburne,CA,44.0787,-80.2041,83.28,40,100,18.34,overcast clouds
65,Cherskiy,RU,68.75,161.3,58.87,44,46,14.23,scattered clouds
66,Padang,ID,-0.9492,100.3543,76.01,85,100,3.67,overcast clouds
67,Atuona,PF,-9.8,-139.0333,78.8,75,90,13.56,light rain
68,Neryungri,RU,56.6709,124.6491,50.97,56,0,5.39,clear sky
69,Rocha,UY,-34.4833,-54.3333,58.69,98,100,8.9,moderate rain
70,Saskylakh,RU,71.9167,114.0833,36.88,78,97,4.47,overcast clouds
71,Santa Rosa,PH,14.3122,121.1114,85.1,86,7,5.77,clear sky
72,Port Lincoln,AU,-34.7333,135.8667,57.94,92,63,11.92,broken clouds
73,Ushuaia,AR,-54.8,-68.3,35.22,80,40,3.44,scattered clouds
74,Severo-Kurilsk,RU,50.6789,156.125,42.04,95,100,20.8,moderate rain
75,Isangel,VU,-19.55,169.2667,74.7,82,86,6.91,overcast clouds
76,Salinopolis,BR,-0.6136,-47.3561,85.53,66,10,11.83,clear sky
77,Torbay,CA,47.6666,-52.7314,58.87,90,90,6.91,overcast clouds
78,Chernyshevskiy,RU,63.0128,112.4714,45.43,51,100,1.07,overcast clouds
79,Bengkulu,ID,-3.8004,102.2655,76.21,91,22,4.7,few clouds
80,Caravelas,BR,-17.7125,-39.2481,78.57,73,33,8.43,scattered clouds
81,Vuktyl,RU,63.8567,57.3094,65.41,52,80,5.55,broken clouds
82,Port Augusta,AU,-32.5,137.7667,50.14,74,6,5.08,clear sky
83,Camacupa,AO,-12.0167,17.4833,62.44,33,53,1.54,broken clouds
84,Cape Town,ZA,-33.9258,18.4232,60.35,60,0,3.85,clear sky
85,Awjilah,LY,29.1081,21.2869,87.71,14,0,10.87,clear sky
86,Saint George,US,37.1041,-113.5841,99.07,15,3,1.01,clear sky
87,Pisco,PE,-13.7,-76.2167,65.01,85,48,7.36,scattered clouds
88,Bilibino,RU,68.0546,166.4372,54.19,56,89,6.4,overcast clouds
89,Victoria,HK,22.2855,114.1577,82.33,75,58,5.01,broken clouds
90,Manyana,BW,-23.4,21.7167,54.09,40,0,8.39,clear sky
91,Port Hardy,CA,50.6996,-127.4199,51.98,87,75,3.44,light rain
92,Shimoda,JP,34.6667,138.95,71.17,86,98,13.18,overcast clouds
93,Mar Del Plata,AR,-38.0023,-57.5575,62.1,65,0,1.99,clear sky
94,Shiyan,CN,32.6475,110.7781,71.92,60,0,4.74,clear sky
95,Codrington,AU,-38.2667,141.9667,52.7,92,100,7.76,overcast clouds
96,Aqtobe,KZ,50.2797,57.2072,66.29,19,0,8.95,clear sky
97,Oussouye,SN,12.485,-16.5469,87.19,52,92,11.79,overcast clouds
98,Nipawin,CA,53.3668,-104.0009,67.39,72,100,4.97,overcast clouds
99,Bogorodskoye,RU,56.55,37.8833,61.59,75,90,5.66,overcast clouds
100,Coquimbo,CL,-29.9533,-71.3436,58.73,82,75,3.78,broken clouds
101,San Quintin,MX,30.4833,-115.95,67.71,65,10,8.77,clear sky
102,Hobart,AU,-42.8794,147.3294,46.06,74,75,1.99,broken clouds
103,Gat,IL,31.61,34.7642,75.81,4,0,10.36,clear sky
104,Khilok,RU,51.3674,110.4676,57.07,46,41,4.88,scattered clouds
105,Hun,LY,29.1268,15.9477,89.1,12,40,13.44,scattered clouds
106,Mujiayingzi,CN,42.1167,118.7833,58.64,52,19,3.27,few clouds
107,Airai,TL,-8.9266,125.4092,57.61,93,68,3.13,broken clouds
108,Chara,RU,56.9064,118.2631,60.04,43,100,2.24,overcast clouds
109,Kainantu,PG,-6.2887,145.8655,59.86,98,92,1.14,overcast clouds
110,Alugan,PH,12.2188,125.4808,78.04,89,99,4.21,overcast clouds
111,Dakoro,NE,14.5106,6.765,103.6,16,84,14.05,broken clouds
112,Verkhnevilyuysk,RU,63.4453,120.3167,43.66,90,99,1.88,overcast clouds
113,Ilulissat,GL,69.2167,-51.1,48.22,46,1,5.75,clear sky
114,Linfen,CN,36.0889,111.5189,76.28,14,2,1.92,light rain
115,Vestmanna,FO,62.1564,-7.1664,49.12,100,90,10.54,drizzle
116,Ponta Do Sol,PT,32.6667,-17.1,71.71,64,47,1.59,scattered clouds
117,Pirovskoye,RU,57.6267,92.2658,43.59,61,73,6.2,broken clouds
118,Castro,BR,-24.7911,-50.0119,73.47,49,1,8.43,clear sky
119,Newark,US,40.7357,-74.1724,91.92,48,20,1.01,few clouds
120,Abaete,BR,-19.16,-45.4458,82.65,37,10,6.26,clear sky
121,Saint-Augustin,CA,51.226,-58.6502,51.28,85,99,8.75,overcast clouds
122,Sitka,US,57.0531,-135.33,51.69,76,75,0.0,broken clouds
123,Cidreira,BR,-30.1811,-50.2056,78.15,58,2,6.49,clear sky
124,Axim,GH,4.8699,-2.2405,82.02,73,58,10.6,broken clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,33.82,89,100,9.69,overcast clouds
126,Neftegorsk,RU,52.802,51.166,57.88,72,93,12.53,overcast clouds
127,Yellowknife,CA,62.456,-114.3525,62.29,58,100,8.55,overcast clouds
128,Cosala,MX,24.4125,-106.6908,85.12,32,0,4.7,clear sky
129,Faanui,PF,-16.4833,-151.75,80.92,72,99,8.25,overcast clouds
130,Thompson,CA,55.7435,-97.8558,69.57,44,78,10.29,broken clouds
131,Rawson,AR,-43.3002,-65.1023,52.21,43,1,24.58,clear sky
132,Imphal,IN,24.8167,93.95,68.16,95,45,1.03,scattered clouds
133,Kabelvag,NO,68.2114,14.4817,55.42,63,25,10.0,scattered clouds
134,Carnarvon,AU,-24.8667,113.6333,60.87,77,86,6.91,overcast clouds
135,Qaanaaq,GL,77.484,-69.3632,38.07,82,100,5.14,overcast clouds
136,Almansa,ES,38.8692,-1.0971,68.07,75,100,6.51,light rain
137,Paea,PF,-17.6833,-149.5833,76.71,78,40,9.01,scattered clouds
138,Dengzhou,CN,37.8086,120.7508,68.56,38,1,10.07,clear sky
139,Mazagao,BR,-0.115,-51.2894,93.25,56,12,5.82,few clouds
140,Souillac,MU,-20.5167,57.5167,74.35,79,26,7.02,scattered clouds
141,Imbituba,BR,-28.24,-48.6703,78.69,56,0,10.98,clear sky
142,Yerbogachen,RU,61.2767,108.0108,44.56,69,100,2.01,overcast clouds
143,Avera,US,33.194,-82.5271,89.47,58,100,5.44,overcast clouds
144,Maragogi,BR,-9.0122,-35.2225,79.63,81,12,12.86,few clouds
145,Havelock,US,34.8791,-76.9013,88.02,78,75,4.61,broken clouds
146,Tarata,BO,-17.6167,-66.0167,68.99,29,66,4.21,broken clouds
147,Pyapon,MM,16.2833,95.6833,84.15,73,99,10.29,light rain
148,Kipushi,CD,-11.7667,27.2333,65.84,51,56,4.07,broken clouds
149,Krishnanagar,IN,23.4,88.5,85.77,67,86,10.07,overcast clouds
150,Maniitsoq,GL,65.4167,-52.9,39.27,95,100,9.78,overcast clouds
151,Puerto Colombia,CO,10.9878,-74.9547,83.37,76,92,14.99,overcast clouds
152,Kavieng,PG,-2.5744,150.7967,81.5,80,86,9.06,moderate rain
153,Kabompo,ZM,-13.5927,24.2008,65.07,43,39,5.86,scattered clouds
154,Salalah,OM,17.0151,54.0924,82.49,89,20,3.44,few clouds
155,Bambous Virieux,MU,-20.3428,57.7575,74.21,73,16,8.57,few clouds
156,Ipixuna,BR,-1.7625,-48.8043,89.55,66,28,2.64,scattered clouds
157,Semey,KZ,50.4111,80.2275,52.23,48,10,7.9,clear sky
158,Pitimbu,BR,-7.4706,-34.8086,84.79,66,13,12.24,few clouds
159,Broome,US,42.2506,-75.833,87.66,44,1,4.0,clear sky
160,Kirensk,RU,57.7853,108.1119,51.66,96,100,8.14,moderate rain
161,Ust-Maya,RU,60.4167,134.5333,55.99,71,5,3.27,clear sky
162,Krusevac,RS,43.58,21.3339,81.12,63,24,1.66,few clouds
163,Ferrol,ES,43.4832,-8.2369,73.65,78,6,17.56,clear sky
164,Marktredwitz,DE,50.005,12.0811,64.96,96,89,1.01,overcast clouds
165,Margate,GB,51.3813,1.3862,71.46,82,57,6.24,broken clouds
166,Tubmanburg,LR,6.8708,-10.8172,82.26,83,88,4.61,light rain
167,Georgetown,MY,5.4112,100.3354,80.89,89,20,1.01,heavy intensity rain
168,Asyut,EG,27.181,31.1837,85.96,17,0,13.6,clear sky
169,Elat,IL,29.5581,34.9482,85.71,24,0,14.79,clear sky
170,Opglabbeek,BE,51.0427,5.5805,65.43,83,75,7.67,mist
171,Alamo,MX,20.9167,-97.6833,87.44,60,72,1.74,broken clouds
172,Castanos,MX,26.7833,-101.4167,85.35,45,20,2.93,few clouds
173,Canchungo,GW,12.0672,-16.0333,87.8,53,49,11.12,scattered clouds
174,Qeshm,IR,26.9581,56.2719,91.27,87,0,6.42,clear sky
175,Russell,US,32.3502,-85.1999,88.75,62,40,4.54,scattered clouds
176,High Level,CA,58.5169,-117.136,68.88,34,21,1.95,few clouds
177,La Ronge,CA,55.1001,-105.2842,63.46,56,100,1.57,overcast clouds
178,Port Alfred,ZA,-33.5906,26.891,61.59,83,0,14.29,clear sky
179,Tiksi,RU,71.6872,128.8694,34.0,79,100,3.94,overcast clouds
180,Ucluelet,CA,48.9329,-125.5528,57.09,92,82,1.01,broken clouds
181,San Patricio,US,28.017,-97.5169,87.03,61,3,8.46,clear sky
182,Talaya,RU,61.3833,152.75,39.0,78,89,6.2,overcast clouds
183,Camana,PE,-16.6228,-72.7111,66.78,77,9,6.62,clear sky
184,Esperance,AU,-33.8667,121.9,56.32,61,97,13.98,overcast clouds
185,Norman Wells,CA,65.282,-126.8329,36.36,97,100,10.8,light rain
186,Sanmenxia,CN,34.7747,111.1814,74.16,20,0,2.68,light rain
187,Dunedin,NZ,-45.8742,170.5036,50.81,60,100,11.99,overcast clouds
188,Arraial Do Cabo,BR,-22.9661,-42.0278,76.86,78,0,21.85,clear sky
189,Boa Viagem,BR,-5.1275,-39.7322,91.24,31,2,7.61,clear sky
190,Aljezur,PT,37.3191,-8.8033,68.05,64,2,14.09,clear sky
191,Palmerston,AU,-12.486,130.9833,69.78,51,95,8.86,overcast clouds
192,Moron,AR,-34.6534,-58.6198,61.0,62,100,9.48,overcast clouds
193,Camacha,PT,33.0833,-16.3333,65.62,64,75,14.97,broken clouds
194,Bay Roberts,CA,47.5999,-53.2648,59.65,87,94,4.0,overcast clouds
195,Dhidhdhoo,MV,6.8833,73.1,82.9,77,100,15.77,overcast clouds
196,Manzil Salim,TN,35.8567,8.4765,86.0,24,97,10.67,overcast clouds
197,Tugulym,RU,57.0591,64.6425,60.87,63,11,7.92,few clouds
198,Ambanja,MG,-13.6833,48.45,73.13,91,59,1.86,light rain
199,La Peca,PE,-5.6111,-78.435,79.81,64,52,3.0,light rain
200,Chuy,UY,-33.6971,-53.4616,63.95,98,100,4.97,moderate rain
201,Provideniya,RU,64.3833,-173.3,36.66,92,100,4.41,overcast clouds
202,Hobyo,SO,5.3505,48.5268,78.96,80,13,24.29,few clouds
203,Mount Gambier,AU,-37.8333,140.7667,53.51,100,90,10.36,fog
204,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,71,76,4.97,broken clouds
205,Lixourion,GR,38.2019,20.4314,75.2,64,0,5.99,clear sky
206,Kodiak,US,57.79,-152.4072,53.11,54,1,9.22,clear sky
207,Bagdarin,RU,54.4333,113.6,54.34,59,96,1.79,overcast clouds
208,Ternate,ID,0.8,127.4,80.67,79,67,4.45,broken clouds
209,Chokurdakh,RU,70.6333,147.9167,50.49,77,93,9.17,overcast clouds
210,Kununurra,AU,-15.7667,128.7333,64.38,52,75,4.61,broken clouds
211,Sinnamary,GF,5.3833,-52.95,82.72,75,52,11.63,light rain
212,Clyde River,CA,70.4692,-68.5914,33.19,98,100,7.18,overcast clouds
213,Aitape,PG,-3.1374,142.3475,76.39,86,22,4.27,few clouds
214,Bull Savanna,JM,17.8868,-77.5902,85.1,60,1,18.25,clear sky
215,New Norfolk,AU,-42.7826,147.0587,45.9,67,63,2.28,broken clouds
216,Aksu,CN,41.1231,80.2644,81.79,17,36,9.46,scattered clouds
217,Iskateley,RU,67.6803,53.1512,47.17,69,100,14.16,overcast clouds
218,Oranjestad,AW,12.524,-70.027,87.75,66,20,24.16,few clouds
219,Itoman,JP,26.1247,127.6694,79.57,96,75,12.66,heavy intensity rain
220,Arvika,SE,59.6553,12.5852,75.81,48,96,6.82,overcast clouds
221,Bam,IR,29.106,58.357,98.33,6,2,6.08,clear sky
222,Uvarovka,RU,55.5278,35.6061,59.72,72,68,4.12,light rain
223,Mauguio,FR,43.6181,4.0074,83.34,47,0,12.66,clear sky
224,Rafaela,AR,-31.2503,-61.4867,68.05,73,100,8.01,overcast clouds
225,Kelvington,CA,52.1667,-103.5343,76.33,52,100,15.86,overcast clouds
226,Banjarmasin,ID,-3.3244,114.591,77.14,94,51,4.03,broken clouds
227,Henties Bay,NA,-22.116,14.2845,71.62,42,0,8.08,clear sky
