City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Tevaitoa,PF,81.14,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
12,Hilo,US,80.28,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
15,Kapaa,US,77.32,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
24,Snyder,US,78.53,broken clouds,32.7179,-100.9176,"Holiday Inn Express & Suites Snyder, an IHG Hotel"
33,Rikitea,PF,75.58,overcast clouds,-23.1203,-134.9692,Pension Maro'i
36,Jamestown,US,84.09,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
47,Butaritari,KI,82.4,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
50,Fare,PF,80.49,overcast clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
52,Kahului,US,77.85,few clouds,20.8947,-156.47,Maui Seaside Hotel
53,Sao Filipe,CV,78.42,scattered clouds,14.8961,-24.4956,Hotel Xaguate
59,Hithadhoo,MV,82.94,overcast clouds,-0.6,73.0833,Scoop Guest House
63,Tabuk,PH,77.65,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
64,Shelburne,CA,83.28,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
66,Padang,ID,76.01,overcast clouds,-0.9492,100.3543,Mercure Padang
67,Atuona,PF,78.8,light rain,-9.8,-139.0333,Villa Enata
71,Santa Rosa,PH,85.1,clear sky,14.3122,121.1114,Erlyn’s Sta Rosa City Home
76,Salinopolis,BR,85.53,clear sky,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
79,Bengkulu,ID,76.21,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
80,Caravelas,BR,78.57,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
89,Victoria,HK,82.33,broken clouds,22.2855,114.1577,Mini Hotel Central
97,Oussouye,SN,87.19,overcast clouds,12.485,-16.5469,Auberge du Routard
103,Gat,IL,75.81,clear sky,31.61,34.7642,OlusHome
105,Hun,LY,89.1,scattered clouds,29.1268,15.9477,Alrwasi Hotel
110,Alugan,PH,78.04,overcast clouds,12.2188,125.4808,JM Lodge
114,Linfen,CN,76.28,light rain,36.0889,111.5189,Suoxing Hotel
120,Abaete,BR,82.65,clear sky,-19.16,-45.4458,Hotel Millenium
123,Cidreira,BR,78.15,clear sky,-30.1811,-50.2056,Hotel Castelo
124,Axim,GH,82.02,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
128,Cosala,MX,85.12,clear sky,24.4125,-106.6908,Hotel Real del Conde
129,Faanui,PF,80.92,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
137,Paea,PF,76.71,scattered clouds,-17.6833,-149.5833,Marama Lodge
141,Imbituba,BR,78.69,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
144,Maragogi,BR,79.63,few clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
145,Havelock,US,88.02,broken clouds,34.8791,-76.9013,Sherwood Motel
147,Pyapon,MM,84.15,light rain,16.2833,95.6833,Aung Naing Thu Motel
149,Krishnanagar,IN,85.77,overcast clouds,23.4,88.5,SPOT ON 65884 New City Hotel & Lodge
151,Puerto Colombia,CO,83.37,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
152,Kavieng,PG,81.5,moderate rain,-2.5744,150.7967,Nusa Island Retreat
154,Salalah,OM,82.49,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
156,Ipixuna,BR,89.55,scattered clouds,-1.7625,-48.8043,Casa da Oscarina
158,Pitimbu,BR,84.79,few clouds,-7.4706,-34.8086,Reserva do Abiaí
159,Broome,US,87.66,clear sky,42.2506,-75.833,Chenango Valley State Park
162,Krusevac,RS,81.12,few clouds,43.58,21.3339,Hotel Golf
166,Tubmanburg,LR,82.26,light rain,6.8708,-10.8172,LITTLE WAY GUEST HOUSE
167,Georgetown,MY,80.89,heavy intensity rain,5.4112,100.3354,Cititel Penang
168,Asyut,EG,85.96,clear sky,27.180999999999997,31.1837,Florence Hotel Assiut
169,Elat,IL,85.71,clear sky,29.5581,34.9482,Club Hotel Eilat
171,Alamo,MX,87.44,broken clouds,20.9167,-97.6833,Hotel Elizabeth
172,Castanos,MX,85.35,few clouds,26.7833,-101.4167,Bomberos voluntarios castaños coahuila
173,Canchungo,GW,87.8,scattered clouds,12.0672,-16.0333,Aparthotel Napalach
175,Russell,US,88.75,scattered clouds,32.3502,-85.1999,Macs
181,San Patricio,US,87.03,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
188,Arraial Do Cabo,BR,76.86,clear sky,-22.9661,-42.0278,Pousada Porto Praia
195,Dhidhdhoo,MV,82.9,overcast clouds,6.8833,73.1,Dhidhoo beach
196,Manzil Salim,TN,86.0,overcast clouds,35.8567,8.4765,mohamed ben khlil omri
199,La Peca,PE,79.81,light rain,-5.6111,-78.435,Hospedaje San Miguelito
202,Hobyo,SO,78.96,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
205,Lixourion,GR,75.2,clear sky,38.2019,20.4314,Hotel Summery
208,Ternate,ID,80.67,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
211,Sinnamary,GF,82.72,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
214,Bull Savanna,JM,85.1,clear sky,17.8868,-77.5902,Big Red's
216,Aksu,CN,81.79,scattered clouds,41.1231,80.2644,Pudong Holiday Hotel
218,Oranjestad,AW,87.75,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
219,Itoman,JP,79.57,heavy intensity rain,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
220,Arvika,SE,75.81,overcast clouds,59.6553,12.5852,Clarion Collection Hotel Bristol
223,Mauguio,FR,83.34,clear sky,43.6181,4.0074,Golf Spa Hotel Montpellier Massane
225,Kelvington,CA,76.33,overcast clouds,52.1667,-103.5343,Sportsman Motel
226,Banjarmasin,ID,77.14,broken clouds,-3.3244,114.59100000000001,Swiss-Belhotel Borneo Banjarmasin
228,Sohag,EG,87.04,clear sky,26.557,31.6948,Civil Registry - Sohag 1
233,Bathsheba,BB,88.41,scattered clouds,13.2167,-59.5167,Atlantis Hotel
234,Bandundu,CD,85.42,broken clouds,-3.3167,17.3667,Coja Color
236,Maceio,BR,81.84,broken clouds,-9.6658,-35.7353,Poutur Pousada
239,Mana,GF,82.29,moderate rain,5.6592,-53.7767,LE SAMANA
240,Waingapu,ID,76.15,broken clouds,-9.6567,120.2641,Pondok Wisata Elim
243,Vila Velha,BR,79.97,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
247,Chaiya,TH,78.55,overcast clouds,9.3862,99.1986,JP Place
248,Biak,ID,76.3,overcast clouds,-0.9131,122.8766,Penginapan Kim
249,George Town,MY,80.89,heavy intensity rain,5.4112,100.3354,Cititel Penang
252,Finschhafen,PG,77.04,overcast clouds,-6.6024,147.8681,Cossam Guest House
255,Santa Ana,US,78.37,broken clouds,33.7456,-117.8678,Santa Ana Travel Inn
256,Mahibadhoo,MV,83.03,broken clouds,3.7833,72.9667,Omadhoo Inn
262,Sao Joao Da Barra,BR,77.09,few clouds,-21.6403,-41.0511,Pousada Porto De Canoas
268,Tumpat,MY,78.98,moderate rain,6.1978,102.171,Baan Tanyong B&B
269,Bubaque,GW,79.57,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
276,Cabedelo,BR,84.87,few clouds,-6.9811,-34.8339,Hotel Pigalle
279,Lamu,KE,78.49,broken clouds,-2.2717,40.902,Lamu House
280,Guadalajara,MX,77.99,scattered clouds,20.6667,-103.3333,Hotel Aranzazú
286,Tira Sujanpur,IN,78.04,overcast clouds,31.8333,76.5,PWD Guest House
289,Yaring,TH,79.03,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
291,Ajdabiya,LY,75.45,clear sky,30.7554,20.2263,Almadina Hotel
292,Laguna,US,86.61,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
293,Canora,CA,79.93,overcast clouds,51.6333,-102.4343,Canora Hotel
301,Marquette,US,76.44,overcast clouds,46.5333,-87.6335,Al Quaal Lodge
305,Omboue,GA,78.6,overcast clouds,-1.5746,9.2618,Hotel Olako
306,Santa Isabel Do Rio Negro,BR,89.2,scattered clouds,-0.4139,-65.0192,Hotel GSA
309,Bonthe,SL,83.68,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
312,Santa Isabel,BR,80.65,clear sky,-23.3156,-46.2214,Chácara Sombra do Altíssimo
316,Phangnga,TH,84.9,overcast clouds,8.4509,98.5298,Sunimit Mansion
317,Makakilo City,US,75.69,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
318,Santarem,BR,86.13,few clouds,-2.4431,-54.7083,Ecotur Lodge
320,Sabang,ID,83.26,overcast clouds,5.8933,95.3214,Hotel Citra
329,Grand Forks,US,84.13,broken clouds,47.9417,-97.4337,Warrior Inn
330,Lorengau,PG,80.29,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
331,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
338,Itarema,BR,87.21,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
340,Nanuque,BR,85.75,scattered clouds,-17.8392,-40.3539,Hotel e Churrascaria Boi na Brasa
341,Frontera,MX,87.33,few clouds,26.9333,-101.45,Casagrande Hotel
342,Nazareno,MX,80.91,clear sky,25.3833,-103.4167,Palmas Suite
350,Tawau,MY,79.66,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
351,Black River,JM,86.0,clear sky,18.0264,-77.8487,Idlers' Rest Beach Hotel
355,Kavaratti,IN,82.74,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
356,Dauphin,CA,79.88,overcast clouds,51.1494,-100.0502,Canway Inn & Suites
357,Muros,ES,77.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
363,Dongkan,CN,76.51,light rain,33.9997,119.8308,Triumphal Resort
366,Nisia Floresta,BR,86.81,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
372,Pandan,PH,80.08,scattered clouds,14.0453,124.1694,Bonifacio Lodge
373,Mayumba,GA,78.49,broken clouds,-3.432,10.6554,LIKWALE LODGE
374,Carlsbad,US,80.28,overcast clouds,33.1581,-117.3506,Carlsbad Inn Beach Resort
375,Lucknow,IN,87.78,haze,26.85,80.9167,OYO Flagship 19334 Shanta Inn Charbagh
377,Salto Del Guaira,PY,82.69,scattered clouds,-24.0625,-54.3069,7 Saltos Resort
379,Male,MV,82.71,overcast clouds,4.1748,73.5089,Hotel Octave Maldives
387,Houma,US,75.99,light rain,29.5958,-90.7195,Courtyard by Marriott Houma
388,Alamosa,US,76.51,clear sky,37.4695,-105.87,Best Western Alamosa Inn
389,Karatau,KZ,75.61,broken clouds,43.1667,70.4667,Gor.bol'nitsa
390,Santa Rosalia,MX,89.53,clear sky,27.3167,-112.2833,Hotel Las Casitas Santa Rosalia
391,Biograd Na Moru,HR,77.7,clear sky,43.9433,15.4519,Hotel Palma
392,Ngawi,ID,75.74,broken clouds,-7.4038,111.4461,GWA KOST NGAWI (dpan Klurahan Ketanggi) 63211 ; 081234123860
394,Shediac,CA,83.08,overcast clouds,46.2198,-64.5411,Auberge Gabrièle (Hôtel & Restaurant)
396,Cockburn Town,TC,85.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
402,Manta,EC,82.18,scattered clouds,-0.95,-80.7333,Balandra Hotel
406,Roma,US,85.86,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
408,Meulaboh,ID,76.66,overcast clouds,4.1363,96.1285,Kost Pria
416,Libertador General San Martin,AR,81.97,scattered clouds,-23.8064,-64.7876,Posada del Sol
422,Kuzhithurai,IN,78.48,overcast clouds,8.3167,77.1833,PWD Rest House
423,Ixtapa,MX,85.23,few clouds,20.7,-105.2,Hotel Plaza Providencia
425,Madisonville,US,85.95,few clouds,37.3281,-87.4989,Days Inn by Wyndham Madisonville
432,Waddan,LY,88.47,few clouds,29.1614,16.139,محل الشريف محمد العايب
437,Kahta,TR,76.37,clear sky,37.7855,38.6237,Kommagene Hotel
440,Port Blair,IN,84.18,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
443,Necocli,CO,85.08,overcast clouds,8.4234,-76.786,Hotel Boutique El Turista
445,Komsomolskiy,UZ,83.62,few clouds,40.4272,71.7189,Ikathouse
449,Port-Gentil,GA,79.41,overcast clouds,-0.7193,8.7815,Fengshui Residence
450,Kalmunai,LK,80.78,broken clouds,7.4167,81.8167,VS Villa
452,Cayenne,GF,80.64,light rain,4.9333,-52.3333,Hôtel Le Dronmi
453,Boueni,YT,80.58,overcast clouds,-12.9025,45.0761,The feet in water
455,Igarapava,BR,87.06,few clouds,-20.0383,-47.7469,Ângelo Palace Hotel Igarapava
460,Bud,US,83.91,clear sky,39.446999999999996,-86.1758,Ted McQuinn Trust
463,Daru,PG,76.23,overcast clouds,-9.0763,143.2092,Daru Lodge
466,General Jose Eduvigis Diaz,PY,79.02,overcast clouds,-27.1667,-58.4167,Hotel Tala Puera
467,Kortkeros,RU,75.2,scattered clouds,61.8106,51.5806,SCP FOUNDATION
468,Vanimo,PG,75.22,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
469,Paducah,US,84.56,clear sky,37.0834,-88.6001,"Holiday Inn Paducah Riverfront, an IHG Hotel"
470,Tual,ID,80.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
473,Samarai,PG,77.72,overcast clouds,-10.6167,150.6667,Nuli Sapi
474,Sioux Lookout,CA,77.7,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
479,Amuntai,ID,76.8,overcast clouds,-2.4177,115.2494,Hotel Balqis
480,Makurdi,NG,81.34,overcast clouds,7.7411,8.5121,Doo Palace Hotel
485,Saint-Georges,GD,76.68,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
488,Touros,BR,86.9,few clouds,-5.1989,-35.4608,INN NEW HORIZON
490,Kirakira,SB,78.15,overcast clouds,-10.4544,161.9205,SanBiz Lodge
491,Alta Floresta,BR,88.93,overcast clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
492,Pontianak,ID,78.78,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
495,Ormara,PK,84.07,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
497,Aracati,BR,89.28,clear sky,-4.5617,-37.7697,Motel Pousada Milleniun - Aracati-CE
499,Estelle,US,75.99,light rain,29.8458,-90.1067,Ohio
501,Anupgarh,IN,89.35,broken clouds,29.1911,73.2086,kushal & Vishal DTH
503,Namibe,AO,75.0,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
507,Puerto Madero,MX,82.6,broken clouds,14.7208,-92.4215,Hotel La Central
510,Ratnagiri,IN,80.87,moderate rain,16.9833,73.3,Hotel Landmark
514,Syriam,MM,82.51,scattered clouds,16.7722,96.2378,Excel River View
519,Iberia,US,77.97,broken clouds,29.9502,-91.7507,back to back rv park
522,Namatanai,PG,79.2,light rain,-3.6667,152.4333,Seagulls Inn Namatani
524,Hambantota,LK,79.57,broken clouds,6.1241,81.1185,Bungalow 63
527,Virginia Beach,US,88.05,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
528,Tautira,PF,77.02,broken clouds,-17.7333,-149.15,Pension Oaoa
532,Sur,OM,89.96,clear sky,22.5667,59.5289,Sur Plaza Hotel
534,Muisne,EC,82.51,overcast clouds,0.6,-80.0333,Quinta Samay
536,Stratonion,GR,77.36,few clouds,40.5141,23.8247,Πανσιόν Καρβουνόσκαλα (Pension Karvounoskala)
537,Matara,LK,78.6,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
547,Mamallapuram,IN,86.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
548,Anderson,US,88.79,scattered clouds,34.5334,-82.6499,The Bleckley Inn
549,Naliya,IN,86.14,clear sky,23.2667,68.8333,Hotel Panchvati
551,Tshela,CD,78.49,overcast clouds,-4.9833,12.9333,Hotel Mirador
552,Lata,PT,81.05,clear sky,40.1629,-8.3327,Casa Maquia
553,Polignano A Mare,IT,85.12,broken clouds,40.9959,17.2159,Grotta Palazzese
556,San Cristobal,VE,84.38,broken clouds,7.7669,-72.225,Posada Villaven C.A.
558,Lac Du Bonnet,CA,83.75,broken clouds,50.2536,-96.0612,Casey's Inn Motor Hotel
559,Acarau,BR,87.21,clear sky,-2.8856,-40.12,castelo pizzaria
561,Ukiah,US,82.04,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
562,Sarakhs,IR,89.74,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
563,Tabou,CI,81.39,light rain,4.423,-7.3528,hotêl doufoulougou
565,Lamar,US,78.96,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
566,Sasso Marconi,IT,81.23,few clouds,44.3995,11.2495,Ca' Vecchia
569,Ibicarai,BR,78.66,scattered clouds,-14.865,-39.5875,Pousada Patioba
572,Sola,VU,79.18,overcast clouds,-13.8833,167.55,Leumerus Bungalows
575,Pamanukan,ID,76.75,broken clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
576,Hirara,JP,82.02,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
584,Puerto Narino,CO,84.15,scattered clouds,-3.7703,-70.3831,Eware Refugio Amazonico
585,Collierville,US,84.67,overcast clouds,35.042,-89.6645,Hampton Inn Memphis/Collierville
588,Dingle,PH,76.28,light rain,10.9995,122.6711,SEGAYA PROPERTY
589,Lahaina,US,77.81,clear sky,20.8783,-156.6825,Lahaina Shores Beach Resort
590,Nicoya,CR,89.15,broken clouds,10.1483,-85.45200000000001,Guayacan Real
591,Port Maria,JM,87.76,clear sky,18.3685,-76.8895,Galina Breeze Hotel
592,Santa Cruz Cabralia,BR,80.83,scattered clouds,-16.2781,-39.0247,Portobali Hotel
596,Tahta,EG,87.28,clear sky,26.7693,31.5021,El Salam Hotel
598,Kudahuvadhoo,MV,83.35,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
602,Dakar,SN,86.88,few clouds,14.6937,-17.4441,Redface Studios Meublés
606,Malibu,US,76.69,overcast clouds,34.005,-118.8101,Malibu Country Inn
607,Najran,SA,86.09,clear sky,17.4924,44.1277,محمد هادي ال فطيح
608,Ramnagar,IN,83.97,scattered clouds,29.4,79.1167,Leisure Vacation Myrica Hotel
614,Morant Bay,JM,87.42,clear sky,17.8815,-76.4093,Whispering Bamboo Cove Resort
615,Pilar Do Sul,BR,77.29,clear sky,-23.8131,-47.7164,HOTEL CENTRAL
616,Tecoanapa,MX,86.97,overcast clouds,16.5167,-98.75,Hotel Manglares
620,Kerema,PG,75.22,overcast clouds,-7.9631,145.7785,Frena Lodge
623,Ambilobe,MG,76.53,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
624,Naya Bazar,IN,75.0,scattered clouds,27.1333,88.2667,Club Mahindra Baiguney
632,Afogados Da Ingazeira,BR,89.53,clear sky,-7.7508,-37.6392,Hotel Brotas
636,Mitsamiouli,KM,79.09,broken clouds,-11.3847,43.2844,Foyer ADM
639,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
641,Esmeraldas,BR,77.86,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
643,Lander,US,84.11,clear sky,42.833,-108.7307,"Holiday Inn Express & Suites Lander, an IHG Hotel"
649,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
653,Point Fortin,TT,76.14,overcast clouds,10.1833,-61.6833,Jus Les' Suites
658,Payson,US,87.33,clear sky,40.0444,-111.7321,Quality Inn Payson I-15
659,Kattivakkam,IN,86.07,overcast clouds,13.2167,80.3167,Raj's villa
662,Cheyenne,US,86.97,clear sky,41.14,-104.8203,The Historic Plains Hotel & Restaurant
663,Mtwara,TZ,75.24,few clouds,-10.2667,40.1833,Til Hotels
671,Karaton,ID,81.95,broken clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
676,Dicabisagan,PH,81.55,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
